box_folder	box	folder	image
01-01	01	01	01-01 CYOA -- Cave of Time, The.txt.gv.png
01-05	01	05	01-05 CYOA -- Cave of Time, The.txt.gv.png
01-07	01	07	01-07 CYOA -- Cave of Time, The (115).txt.gv.png
01-07	01	07	01-07v2 CYOA -- Cave of Time, The (115).txt.gv.png
01-14	01	14	01-14 CYOA -- By Balloon to the Sahara.txt.gv.png
01-16	01	16	01-16 CYOA -- Space and Beyond.txt.gv.png
01-20	01	20	01-20 CYOA -- Mystery of Chimney Rock, The.txt.gv.png
01-24	01	24	01-24 CYOA -- Your Code Name is Jonah.txt.gv.png
01-27	01	27	01-27 CYOA -- Third Planet from Altair, The.txt.gv.png
01-29	01	29	01-29 CYOA -- Deadwood City.txt.gv.png
01-31	01	31	01-31 CYOA -- Who Killed Harlowe Thrombey.txt.gv.png
01-32	01	32	01-32 CYOA -- Who Killed Harlowe Thrombey.txt.gv.png
01-33	01	33	01-33 CYOA -- Who Killed Harlowe Thrombey.txt.gv.png
01-35	01	35	01-35 CYOA -- Lost Jewels of Nabooti, The.txt.gv.png
01-37	01	37	01-37 CYOA -- Mystery of the Maya.txt.gv.png
01-39	01	39	01-39 CYOA -- Inside UFO 54-40.txt.gv.png
01-39	01	39	01-39v2 CYOA -- Inside UFO 54-40 (labeled).txt.gv.png
01-42	01	42	01-42 CYOA -- Abominable Snowman, The. (new edition from Jeremy collection).txt.gv.png
01-42	01	42	01-42 CYOA -- Abominable Snowman, The. (old edition from Katz collection).txt.gv.png
01-42	01	42	01-42b CYOA -- Abominable Snowman, The.txt.gv.png
01-43	01	43	01-43 CYOA -- Forbidden Castle, The.txt.gv.png
01-45	01	45	01-45 CYOA -- House of Danger.txt.gv.png
01-47	01	47	01-47 CYOA -- Survival at Sea.txt.gv.png
01-48	01	48	01-48 CYOA -- Race Forever, The.txt.gv.png
01-49	01	49	01-49 CYOA -- Underground Kingdom.txt.gv.png
01-50	01	50	01-50 CYOA -- Secret of the Pyramids.txt.gv.png
01-51	01	51	01-51 CYOA -- Escape.txt.gv.png
01-52	01	52	01-52 CYOA -- Hyperspace.txt.gv.png
01-53	01	53	01-53 CYOA -- Space Patrol.txt.gv.png
01-55	01	55	01-55 CYOA -- Lost Tribe, The.txt.gv.png
01-56	01	56	01-56 CYOA -- Lost on the Amazon.txt.gv.png
01-57	01	57	01-57 CYOA -- Prisoner of the Ant People.txt.gv.png
01-58	01	58	01-58 CYOA -- Phantom Submarine, The.txt.gv.png
01-59	01	59	01-59 CYOA -- Horror of High Ridge, The.txt.gv.png
01-60	01	60	01-60 CYOA -- Mountain Survival.txt.gv.png
01-61	01	61	01-61 CYOA -- Trouble on Planet Earth.txt.gv.png
01-65	01	65	01-65 CYOA -- Vampire Express.txt.gv.png
01-65	01	65	01-65v2 CYOA -- Vampire Express (printing-error).txt.gv.png
01-65	01	65	01-65v3 CYOA -- Vampire Express (broken).txt.gv.png
02-07	02	07	02-07 CYOA -- War with the Evil Power Master (118) delay rush.txt.gv.png
02-07	02	07	02-07 CYOA -- War with the Evil Power Master (118) no tags.txt.gv.png
02-07	02	07	02-07 CYOA -- War with the Evil Power Master (118).txt.gv.png
02-23	02	23	02-23 CYOA 50 Return to the Cave of Time (115).txt.gv.png
02-50	02	50	02-50 CYOA -- Space Vampire.txt.gv.png
02-50	02	50	02-50v2 CYOA 71 Space Vampire labels no tags.txt.gv.png
03-01	03	01	03-01 CYOA -- Inca Gold.txt.gv.png
03-02	03	02	03-02 CYOA -- Knights of the Round Table.txt.gv.png
03-03	03	03	03-03 CYOA -- Exiled to Earth.txt.gv.png
03-04	03	04	03-04 CYOA -- Master of Kung Fu.txt.gv.png
03-05	03	05	03-05 CYOA -- South Pole Sabotage.txt.gv.png
03-06	03	06	03-06 CYOA -- Mutiny in Space.txt.gv.png
03-07	03	07	03-07 CYOA -- You Are a Superstar.txt.gv.png
03-08	03	08	03-08 CYOA -- Return of the Ninja.txt.gv.png
03-09	03	09	03-09 CYOA -- Captive.txt.gv.png
03-10	03	10	03-10 CYOA -- Blood on the Handle.txt.gv.png
03-11	03	11	03-11 CYOA -- You Are a Genius.txt.gv.png
03-12	03	12	03-12 CYOA -- Stock Car Champion.txt.gv.png
03-13	03	13	03-13 CYOA -- Through the Black Hole.txt.gv.png
03-14	03	14	03-14 CYOA -- You Are a Millionaire.txt.gv.png
03-15	03	15	03-15 CYOA -- Revenge of the Russian Ghost.txt.gv.png
03-16	03	16	03-16 CYOA -- Worst Day of Your Life, The.txt.gv.png
03-17	03	17	03-17 CYOA -- Alien, Go Home.txt.gv.png
03-18	03	18	03-18 CYOA -- Master of Tae Kwon Do.txt.gv.png
03-19	03	19	03-19 CYOA -- Grave Robbers.txt.gv.png
03-20	03	20	03-20 CYOA -- Cobra Connection.txt.gv.png
03-21	03	21	03-21 CYOA -- Treasure of the Onyx Dragon, The.txt.gv.png
03-22	03	22	03-22 CYOA -- Hijacked.txt.gv.png
03-23	03	23	03-23 CYOA -- Fight for Freedom.txt.gv.png
03-24	03	24	03-24 CYOA -- Master of Karate.txt.gv.png
03-25	03	25	03-25 CYOA -- Chinese Dragons.txt.gv.png
03-26	03	26	03-26 CYOA -- Invaders from Within.txt.gv.png
03-27	03	27	03-27 CYOA -- Smoke Jumper.txt.gv.png
03-28	03	28	03-28 CYOA -- Skateboard Champion.txt.gv.png
03-29	03	29	03-29 CYOA -- Lost Ninja, The.txt.gv.png
03-30	03	30	03-30 CYOA -- Daredevil Park.txt.gv.png
03-31	03	31	03-31 CYOA -- Island of Time.txt.gv.png
03-32	03	32	03-32 CYOA -- Kidnapped!.txt.gv.png
03-33	03	33	03-33 CYOA -- Search for Aladdin's Lamp.txt.gv.png
03-34	03	34	03-34 CYOA -- Vampire Invaders.txt.gv.png
03-35	03	35	03-35 CYOA -- Terrorist Trap.txt.gv.png
03-36	03	36	03-36 CYOA -- Ghost Train.txt.gv.png
03-37	03	37	03-37 CYOA -- Behind the Wheel.txt.gv.png
03-38	03	38	03-38 CYOA -- Magic Master.txt.gv.png
03-39	03	39	03-39 CYOA -- Silver Wings.txt.gv.png
03-40	03	40	03-40 CYOA -- Superbike.txt.gv.png
03-41	03	41	03-41 CYOA -- Outlaw Gulch.txt.gv.png
03-42	03	42	03-42 CYOA -- Master of Martial Arts.txt.gv.png
03-43	03	43	03-43 CYOA -- Showdown.txt.gv.png
03-44	03	44	03-44 CYOA -- Viking Raiders.txt.gv.png
03-45	03	45	03-45 CYOA -- Earthquake.txt.gv.png
03-46	03	46	03-46 CYOA -- You Are Microscopic.txt.gv.png
03-47	03	47	03-47 CYOA -- Surf Monkeys.txt.gv.png
03-48	03	48	03-48 CYOA -- Luckiest Day of Your Life, The.txt.gv.png
03-49	03	49	03-49 CYOA -- Forgotten Planet, The.txt.gv.png
03-50	03	50	03-50 CYOA -- Secret of the Dolphins.txt.gv.png
03-51	03	51	03-51 CYOA -- Playoff Champion.txt.gv.png
03-52	03	52	03-52 CYOA -- Roller Star.txt.gv.png
03-53	03	53	03-53 CYOA -- Scene of the Crime.txt.gv.png
03-54	03	54	03-54 CYOA -- Dinosaur Island.txt.gv.png
03-55	03	55	03-55 CYOA -- Motocross Mania.txt.gv.png
03-56	03	56	03-56 CYOA -- Horror House.txt.gv.png
03-57	03	57	03-57 CYOA -- Secret of Mystery Hill, The.txt.gv.png
03-58	03	58	03-58 CYOA -- Reality Machine, The.txt.gv.png
03-59	03	59	03-59 CYOA -- Project UFO.txt.gv.png
03-60	03	60	03-60 CYOA -- Comet Crash.txt.gv.png
03-61	03	61	03-61 CYOA -- Everest Adventure.txt.gv.png
03-62	03	62	03-62 CYOA -- Soccer Star.txt.gv.png
03-63	03	63	03-63 CYOA -- The Antimatter Universe.txt.gv.png
03-64	03	64	03-64 CYOA -- Master of Judo.txt.gv.png
04-01	04	01	04-01 CYOA -- Search the Amazon.txt.gv.png
04-02	04	02	04-02 CYOA -- Who Are You.txt.gv.png
04-03	04	03	04-03 CYOA -- Gunfire at Gettysburg.txt.gv.png
04-04	04	04	04-04 CYOA -- War with the Mutant Spider Ants.txt.gv.png
04-05	04	05	04-05 CYOA -- Last Run.txt.gv.png
04-06	04	06	04-06 CYOA -- Cyberspace Warrior.txt.gv.png
04-07	04	07	04-07 CYOA -- Ninja Cyborg.txt.gv.png
04-08	04	08	04-08 CYOA -- You Are an Alien.txt.gv.png
04-09	04	09	04-09 CYOA -- U.N. Adventure.txt.gv.png
04-10	04	10	04-10 CYOA -- Sky Jam.txt.gv.png
04-11	04	11	04-11 CYOA -- Tattoo of Death.txt.gv.png
04-12	04	12	04-12 CYOA -- Possessed.txt.gv.png
04-13	04	13	04-13 CYOA -- Typhoon.txt.gv.png
04-14	04	14	04-14 CYOA -- Shadow of the Swastika.txt.gv.png
04-15	04	15	04-15 CYOA -- Fright Night.txt.gv.png
04-16	04	16	04-16 CYOA -- Snowboard Racer.txt.gv.png
04-17	04	17	04-17 CYOA -- Master of Aikido.txt.gv.png
04-18	04	18	04-18 CYOA -- Moon Quest.txt.gv.png
04-19	04	19	04-19 CYOA -- Hostage.txt.gv.png
04-20	04	20	04-20 CYOA -- Terror on the Titanic.txt.gv.png
04-21	04	21	04-21 CYOA -- Greed, Guns, and Gold.txt.gv.png
04-22	04	22	04-22 CYOA -- Death in the Dorm.txt.gv.png
04-23	04	23	04-23 CYOA -- Mountain Biker.txt.gv.png
04-24	04	24	04-24 CYOA -- The Gold Medal Secret.txt.gv.png
04-25	04	25	04-25 CYOA -- The Power Dome.txt.gv.png
04-26	04	26	04-26 CYOA -- The Underground Railroad.txt.gv.png
04-28	04	28	04-28 CYOA -- Master of Kendo.txt.gv.png
04-29	04	29	04-29 CYOA -- Killer Virus.txt.gv.png
04-30	04	30	04-30 CYOA -- River of No Return.txt.gv.png
04-31	04	31	04-31 CYOA -- Ninja Avenger.txt.gv.png
04-32	04	32	04-32 CYOA -- Stampede.txt.gv.png
04-33	04	33	04-33 CYOA -- Fire on Ice.txt.gv.png
04-34	04	34	04-34 CYOA -- Fugitive.txt.gv.png
04-35	04	35	04-35 CYOA -- Cyberhacker.txt.gv.png
04-36	04	36	04-36 CYOA -- Mayday.txt.gv.png
04-37	04	37	04-37 CYOA -- The Abominable Snowman.txt.gv.png
04-38	04	38	04-38 CYOA -- Journey Under the Sea.txt.gv.png
04-39	04	39	04-39 CYOA -- Space and Beyond.txt.gv.png
04-40	04	40	04-40 CYOA -- The Lost Jewels of Nabooti.txt.gv.png
04-42	04	42	04-42 CYOA -- Mystery of the Maya.txt.gv.png
04-43	04	43	04-43 CYOA -- Race Forever.txt.gv.png
04-43	04	43	04-43v2 CYOA -- Race Forever (restarting).txt.gv.png
04-45	04	45	04-45 CYOA -- Escape.txt.gv.png
04-46	04	46	04-46 CYOA -- Lost on the Amazon.txt.gv.png
04-47	04	47	04-47 CYOA -- Trouble on Planet Earth.txt.gv.png
04-48	04	48	04-48 CYOA -- War with the Evil Power Master.txt.gv.png
04-49	04	49	04-49 CYOA -- The Mystery of Ura Senke.txt.gv.png
04-50	04	50	04-50 CYOA -- Beyond Escape.txt.gv.png
04-51	04	51	04-51 CYOA -- Secret of the Ninja.txt.gv.png
04-52	04	52	04-52 CYOA -- The Brilliant Dr. Wogan.txt.gv.png
04-53	04	53	04-53 CYOA -- Return to Atlantis.txt.gv.png
04-54	04	54	04-54 CYOA -- Forecast from Stonehenge.txt.gv.png
04-55	04	55	04-55 CYOA -- Inca Gold.txt.gv.png
04-55	04	55	04-55b CYOA -- Inca Gold (corrected).txt.gv.png
04-56	04	56	04-56 CYOA -- Struggle Down Under.txt.gv.png
04-56	04	56	04-56b CYOA -- Struggle Down Under (corrected).txt.gv.png
04-57	04	57	04-57 Tattoo of Death (reprint).txt.gv.png
04-58	04	58	04-58 Silver Wings.txt.gv.png
04-59	04	59	04-59 Terror on the Titanic (reprint).txt.gv.png
04-60	04	60	04-60 Search for the Mountain Gorillas.txt.gv.png
04-61	04	61	04-61 Moon Quest (reprint).txt.gv.png
04-62	04	62	04-62 Project UFO.txt.gv.png
04-63	04	63	04-63 The Island of Time.txt.gv.png
04-64	04	64	04-64 Smoke Jumpers.txt.gv.png
04-65	04	65	04-65 Chinese Dragons.txt.gv.png
04-66	04	66	04-66 Track Star.txt.gv.png
04-67	04	67	04-67 U.N. Adventure Mission to Molowa (reprint).txt.gv.png
04-68	04	68	04-68 Blood on the Handle.txt.gv.png
04-69	04	69	04-69 Zombie Penpal.txt.gv.png
04-70	04	70	04-70 The Computer Takeover.txt.gv.png
05-01	05	01	05-01 CYOA-YR -- Circus, The.txt.gv.png
05-04	05	04	05-04 CYOA-YR -- Haunted House, The.txt.gv.png
05-07	05	07	05-07 CYOA-YR -- Sunken Treasure.txt.gv.png
05-10	05	10	05-10 CYOA-YR -- Your Very Own Robot.txt.gv.png
05-13	05	13	05-13 CYOA-YR -- Gorga, The Space Monster.txt.gv.png
05-14	05	14	05-14 CYOA-YR -- Search for Champ, The.txt.gv.png
05-17	05	17	05-17 CYOA-YR -- Green Slime, The.txt.gv.png
05-20	05	20	05-20 CYOA-YR -- Help You're Shrinking.txt.gv.png
05-21	05	21	05-21 CYOA-YR -- Indian Trail.txt.gv.png
05-22	05	22	05-22 CYOA-YR -- Dream Trips (Go to any Page Version).txt.gv.png
05-22	05	22	05-22 CYOA-YR -- Dream Trips.txt.gv.png
05-24	05	24	05-24 CYOA-YR -- Genie in the Bottle, The.txt.gv.png
05-25	05	25	05-25 CYOA-YR -- Bigfoot Mystery, The.txt.gv.png
05-27	05	27	05-27 CYOA-YR -- Creature from Miller's Pond, The.txt.gv.png
05-28	05	28	05-28 CYOA-YR -- Jungle Safari.txt.gv.png
05-29	05	29	05-29 CYOA-YR -- Mummy's Tomb, The.txt.gv.png
05-30	05	30	05-30 CYOA-YR -- Three Wishes, The.txt.gv.png
05-32	05	32	05-32 CYOA-YR -- Dragons.txt.gv.png
05-33	05	33	05-33 CYOA-YR -- Wild Horse Country.txt.gv.png
05-34	05	34	05-34 CYOA-YR -- Summer Camp.txt.gv.png
05-36	05	36	05-36 CYOA-YR -- Tower of London, The.txt.gv.png
05-37	05	37	05-37 CYOA-YR -- Trouble in Space.txt.gv.png
05-39	05	39	05-39 CYOA-YR -- Mona is Missing.txt.gv.png
05-40	05	40	05-40 CYOA-YR -- Evil Wizard, The.txt.gv.png
05-41	05	41	05-41 CYOA-YR -- Polar Bear Express, The.txt.gv.png
05-44	05	44	05-44 CYOA-YR -- Flying Carpet, The.txt.gv.png
05-45	05	45	05-45 CYOA-YR -- Magic Path, The.txt.gv.png
05-46	05	46	05-46 CYOA-YR -- Ice Cave.txt.gv.png
05-47	05	47	05-47 CYOA-YR -- Fire.txt.gv.png
05-49	05	49	05-49 CYOA-YR -- Fairy Kidnap, The.txt.gv.png
05-50	05	50	05-50 CYOA-YR -- Runaway Spaceship.txt.gv.png
05-51	05	51	05-51 CYOA-YR -- Lost Dog.txt.gv.png
05-52	05	52	05-52 CYOA-YR -- Blizzard a Black Swan Inn.txt.gv.png
05-53	05	53	05-53 CYOA-YR -- Haunted Harbor.txt.gv.png
05-55	05	55	05-55 CYOA-YR -- Attack of The Monster Plants.txt.gv.png
05-56	05	56	05-56 CYOA-YR -- Miss Liberty Caper, The.txt.gv.png
05-57	05	57	05-57 CYOA-YR -- Owl Tree, The.txt.gv.png
05-58	05	58	05-58 CYOA-YR -- Haunted Halloween Party.txt.gv.png
05-59	05	59	05-59 CYOA-YR -- Sand Castle.txt.gv.png
05-60	05	60	05-60 CYOA-YR -- Caravan.txt.gv.png
05-61	05	61	05-61 CYOA-YR -- Great Easter Bunny Adventure, The.txt.gv.png
05-62	05	62	05-62 CYOA-YR -- The Movie Mystery.txt.gv.png
05-63	05	63	05-63 CYOA-YR -- Light on Burro Mountain.txt.gv.png
05-64	05	64	05-64 CYOA-YR -- Home in Time for Christmas.txt.gv.png
05-65	05	65	05-65 CYOA-YR -- You See the Future.txt.gv.png
05-66	05	66	05-66 CYOA-YR -- The Great Zopper Toothpaste Treasure.txt.gv.png
05-68	05	68	05-68 CYOA-YR -- A Day With The Dinosaurs.txt.gv.png
05-69	05	69	05-69  CYOA-YR -- Spooky Thanksgiving.txt.gv.png
05-70	05	70	05-70 CYOA-YR -- You Are Invisible.txt.gv.png
05-71	05	71	05-71 CYOA-YR -- Race of the Year.txt.gv.png
05-72	05	72	05-72 CYOA-YR -- Stranded!.txt.gv.png
05-73	05	73	05-73 CYOA-YR -- You Can Make a Difference The Story of Martin Luther King Jr..txt.gv.png
05-74	05	74	05-74 CYOA-YR -- The Enchanted Attic.txt.gv.png
05-75	05	75	05-75 CYOA-SA -- Journey to the Year 3000.txt.gv.png
05-76	05	76	05-76 CYOA-SA -- Danger Zones.txt.gv.png
05-77	05	77	05-77 CYOA-Space Hawks -- Faster Than Light.txt.gv.png
05-78	05	78	05-78 CYOA-Space Hawks -- Alien Invaders.txt.gv.png
05-79	05	79	05-79 CYOA-Space Hawks -- Space Fortress.txt.gv.png
05-80	05	80	05-80 CYOA-Space Hawks -- The Comet Masters.txt.gv.png
05-81	05	81	05-81 CYOA-Space Hawks -- The Fiber People.txt.gv.png
05-82	05	82	05-82A CYOA-Space Hawks -- The Planet Eater.txt.gv.png
05-84	05	84	05-84 CYOA-Passport -- Tour De France.txt.gv.png
05-85	05	85	05-85 CYOA-Passport -- Forgotten Days.txt.gv.png
05-86	05	86	05-86 CYOA-Passport -- On Tour.txt.gv.png
05-88	05	88	05-88 Young Indiana Jones Chronicles -- The Valley of Kings.txt.gv.png
05-89	05	89	05-89 Young Indiana Jones Chronicles -- South of the Border.txt.gv.png
05-90	05	90	05-90 Young Indiana Jones Chronicles -- Revolution in Russia.txt.gv.png
05-91	05	91	05-91 Young Indiana Jones Chronicles -- Masters of the Louvre.txt.gv.png
05-92	05	92	05-92 Young Indiana Jones Chronicles -- African Safari.txt.gv.png
05-93	05	93	05-93 Young Indiana Jones Chronicles -- Behind the Great Wall.txt.gv.png
05-94	05	94	05-94 Young Indiana Jones Chronicles -- The Roaring Twenties.txt.gv.png
05-95	05	95	05-95 Young Indiana Jones Chronicles -- The Irish Rebellion.txt.gv.png
06-06	06	06	06-06 CYON 01 Night of the Werewolf.txt.gv.png
06-07	06	07	06-07 CYON 02 Beware the Snake's Venom.txt.gv.png
06-10	06	10	06-10 CYON 05 Halloween Party, The.txt.gv.png
06-11	06	11	06-11 CYON 06 Risk Your Life Arcade .txt.gv.png
06-12	06	12	06-12 CYON 07 Biting for Blood .txt.gv.png
06-13	06	13	06-13 CYON 08 Bugged Out! .txt.gv.png
06-14	06	14	06-14 CYON 09 Mummy Who Wouldn't Die, The.txt.gv.png
06-15	06	15	06-15 CYON 10 It Happened at Camp Pine Tree .txt.gv.png
06-16	06	16	06-16 CYON 11 Watch Out for Room 13.txt.gv.png
06-17	06	17	06-17 CYON 15 How I Became a Freak .txt.gv.png
06-18	06	18	06-18 CYON 16 Welcome to Horror Hospital.txt.gv.png
06-19	06	19	06-19 CYON 17 Attack of the Living Mask.txt.gv.png
06-20	06	20	06-20 CYON 18 Toy Shop of Terror, The.txt.gv.png
06-22	06	22	06-22  Goosebumps 05 Night in Werewolf Woods .txt.gv.png
06-23	06	23	06-23 Goosebumps 06 Beware of the Purple Peanut Butter.txt.gv.png
06-24	06	24	06-24 Goosebumps 07 Under the Magician's Spell.txt.gv.png
06-25	06	25	06-25 Goosebumps 08 Curse of the Creeping Coffin, The.txt.gv.png
