box_folder	box	folder	image
12-02	12	02	12-02 HeartQuest 02 Talisman of Valdegarde.txt.gv.png
12-03	12	03	12-03 Heart Quest Book 03 Secret Sorceress G.txt.gv.png
12-03	12	03	12-03 HeartQuest 03 Secret Sorceress.txt.gv.png
12-04	12	04	12-04 HeartQuest 04 Isle of Illusion (GENRE).txt.gv.png
12-04	12	04	12-04 HeartQuest 04 Isle of Illusion .txt.gv.png
12-05	12	05	12-05 HeartQuest 05 Moon Dragon Summer (GENRE).txt.gv.png
12-05	12	05	12-05 HeartQuest 05 Moon Dragon Summer .txt.gv.png
12-06	12	06	12-06 HeartQuest 06 Lady of the Winds (GENRE).txt.gv.png
12-06	12	06	12-06 HeartQuest 06 Lady of the Winds.txt.gv.png
12-19	12	19	12-19 Amazing Stories Book 04 Nightmare Universe.txt.gv.png
12-22	12	22	12-22 Blackstone's Magic Adventure 01 The Case of the Mummy's Tomb.txt.gv.png
12-26	12	26	12-26 Blackstone's Magic Adventure 02 Secrets of Stonehenge.txt.gv.png
12-27	12	27	12-27 Endless Quest Books: Crimson Crystal Adventurs 01 Riddle of the Griffin.txt.gv.png
12-31	12	31	12-31 Dungeons and Dragons Cartoon Show Books 01 Tower of Midnight Dreams.txt.gv.png
12-34	12	34	12-34 Fantasy Forest 01 The Ring, the Sword, and the Unicorn.txt.gv.png
12-45	12	45	12-45 Mystic Nights of Tir na Nog -- Fire Within, Air Above.txt.gv.png
12-49	12	49	12-49 Find Your Fate Junior - Golden Girl 01 Golden Girl and the Vanishing Unicorn (GENRE).txt.gv.png
12-49	12	49	12-49 Find Your Fate Junior - Golden Girl 01 Golden Girl and the Vanishing Unicorn.txt.gv.png
12-50	12	50	12-50 Find Your Fate Junior - Golden Girl 02 Golden Girl in the Land of Dreams (GENRE).txt.gv.png
12-50	12	50	12-50 Find Your Fate Junior - Golden Girl 02 Golden Girl in the Land of Dreams.txt.gv.png
12-51	12	51	12-51 Find Your Fate Junior - Golden Girl 03 Golden Girl and the Crystal of Doom (GENRE).txt.gv.png
12-51	12	51	12-51 Find Your Fate Junior - Golden Girl 03 Golden Girl and the Crystal of Doom.txt.gv.png
12-52	12	52	12-52 Which Way Secret Door Books 02 Giants, Elves & Scary Monsters.txt.gv.png
12-53	12	53	12-53 Which Way Secret Door Books 03 The Haunted Castle.txt.gv.png
12-61	12	61	12-61 Which Way Secret Door Books 11 Enchanted Forest.txt.gv.png
13-01	13	01	13-01 PYOHS -- Craven House Horrors (116).txt.gv.png
13-09	13	09	13-09 PIYAS -- Staying Alive (152).txt.gv.png
13-10	13	10	13-10 PIYAS -- Star Trek III (117) one ending.txt.gv.png
13-11	13	11	13-11 PIYAS -- Star Trek II (126).txt.gv.png
13-12	13	12	13-12 Storytrails -- Stone of Badda.txt.gv.png
13-19	13	19	13-19 Rollercoaster Tycoon -- Sudden Turn.txt.gv.png
13-25	13	25	13-25 IYC -- Serena's Secret (80).txt.gv.png
13-28	13	28	13-28 Powerpuff Girls -- Career-Day Blossom (64).txt.gv.png
13-56	13	56	13-56B Survivor -- Thailand.txt.gv.png
13-60	13	60	13-60 Troll AA -- Cosmic Kidnappers (116) remediates computer functions.txt.gv.png
13-60	13	60	13-60G Troll AA -- Cosmic Kidnappers (116) remediates computer functions (GENRE).txt.gv.png
13-61	13	61	13-61 Troll AA -- Target Earth (116).txt.gv.png
13-62	13	62	13-62 Troll AA -- Town in Terror (116).txt.gv.png
13-63	13	63	13-63 Troll AA -- Thieves from Space (118).txt.gv.png
13-66	13	66	13-66 Troll FA -- Secret of the Old Museum (99) interesting middle branch.txt.gv.png
13-67	13	67	13-67 Troll FA -- Mystery at Loch Ness (99).txt.gv.png
13-70	13	70	13-70 Troll FF -- War of the Wizards.txt.gv.png
13-71	13	71	13-71 Troll FF -- Master of Mazes.txt.gv.png
13-72	13	72	13-72 Troll FF -- Magician's Ring.txt.gv.png
13-73	13	73	13-73 ** Troll FF -- Forbidden Towers (124).txt.gv.png
13-74	13	74	13-74 Troll SIY -- Mystery at the Bike Race (122).txt.gv.png
13-76	13	76	13-76 Troll SIY -- Missing Rock Star Caper (117).txt.gv.png
14-01	14	01	14-01 What If Books 01 Ride the Blue Bazoo.txt.gv.png
14-02	14	02	14-02 What If Books 02 Follow the Lone Cry.txt.gv.png
14-03	14	03	14-03 What If Books 03 Sneek Behind Enemy Lines.txt.gv.png
14-04	14	04	14-04 What If Books 04 Accept the Royal Challenge.txt.gv.png
14-05	14	05	14-05 Turning Points 01 Friends Forever.txt.gv.png
14-06	14	06	14-06 Turning Points 02 Kerry's Dance.txt.gv.png
14-07	14	07	14-07 Turning Points 03 Valentine for Betsy.txt.gv.png
14-08	14	08	14-08 Turning Points 04 Forget Me Not.txt.gv.png
14-09	14	09	14-09 Turning Points 05 Keep Tomorrow for Me.txt.gv.png
14-10	14	10	14-10 Follow Your Heart Romance 01 Summer in the Sun.txt.gv.png
14-11	14	11	14-11 Follow Your Heart Romance 04 Sun, Sea and Boys.txt.gv.png
14-12	14	12	14-12 Follow Your Heart Romance 08 Lots of Boys.txt.gv.png
14-13	14	13	14-13 Follow Your Heart Romance 10 Seven Boy Vacation.txt.gv.png
14-14	14	14	14-14 Dream Your Own Romance 02 Holiday Romance.txt.gv.png
14-15	14	15	14-15 Make Your Dreams Come True -- Angie's Choice.txt.gv.png
14-15	14	15	14-15 Make Your Dreams Come True 01 Angie's Choice.txt.gv.png
14-16	14	16	14-16 Make Your Dreams Come True 02 Winning at Love.txt.gv.png
14-17	14	17	14-17 Make Your Dreams Come True -- Worthy Opponents.txt.gv.png
14-18	14	18	14-18 Make Your Dreams Come True -- Dream Date.txt.gv.png
14-21	14	21	14-21 Pick Your Own Dream Date -- Saturday Night Bash, The.txt.gv.png
14-22	14	22	14-22 Pick Your Own Dream Date -- Spring Break.txt.gv.png
14-23	14	23	14-23 Confidentially Yours -- Confidentially Yours.txt.gv.png
14-24	14	24	14-24 Confidentially Yours -- Breaking Up is Hard to Do.txt.gv.png
14-25	14	25	14-25 Date with Destiny Adventures -- Escape From Fire Island.txt.gv.png
14-26	14	26	14-26 Date with Destiny Adventures -- Night of a Thousand Boyfriends.txt.gv.png
14-27	14	27	14-27 Find Your Fate - Jem 01 Jewels in the Dark.txt.gv.png
14-28	14	28	14-28 Find Your Fate - Jem -- Video Caper, The.txt.gv.png
14-29	14	29	14-29 Find Your Fate - Jem -- Secret of Rainbow Island.txt.gv.png
14-30	14	30	14-30 Miss Adventure 01 Tangle in Tijuana.txt.gv.png
14-32	14	32	14-32 Ghostwriter -- Match of Wills.txt.gv.png
14-33	14	33	14-33 Ghostwriter -- Amazement Park Adventure.txt.gv.png
14-34	14	34	14-34 Sexuality Decision- Making Series -- Taking Chance with Sex.txt.gv.png
14-38	14	38	14-38 Thrilling Adventures in Space -- Space Pilot.txt.gv.png
14-40	14	40	14-40 Have Your Own Extra-Terrestrial Adventure.txt.gv.png
14-41	14	41	14-41 You Can Be -- The Stainless Steel Rat.txt.gv.png
14-43	14	43	14-43 Make Your Own Adventure With -- Doctor Who, The Garden of Evil.txt.gv.png
14-44	14	44	14-44 Micro Adventure -- Robot Race.txt.gv.png
14-45	14	45	14-45 Star Challenge -- The Exploding Suns.txt.gv.png
14-48	14	48	14-48 Find Your (Unfortunate) Fate -- Tales from the Crypt-Name Your Nightmare.txt.gv.png
14-49	14	49	14-49 Animorphs Alternamorphs -- Next Passage, The.txt.gv.png
14-50	14	50	14-50 Animorphs Alternamorphs -- First Journey.txt.gv.png
14-51	14	51	14-51 Paths of Doom -- Sete-Ka's Dream Quest.txt.gv.png
14-54	14	54	14-54 Make It Happen -- Master of the Past.txt.gv.png
14-58	14	58	14-58 Tracker Books -- Codebreaker.txt.gv.png
14-59	14	59	14-59 Tracker Books -- Skyjacked.txt.gv.png
14-63	14	63	14-63 Storymaze -- The Golden Udder.txt.gv.png
14-65	14	65	14-65 Storymaze -- Minaotaur's Maze, The.txt.gv.png
14-66	14	66	14-66 You Are There -- Battle of the Alamo.txt.gv.png
19-19	19	19	19-19 The Crown of the Kings.txt.gv.png
22-06	22	06	22-06A 1 on 1 Adventure Gamebooks -- Challenge of Druid's Grove - Renwood.txt.gv.png
22-06	22	06	22-06B 1 on 1 Adventure Gamebooks -- Challenge of Druid's Grove - Ar-kane.txt.gv.png
22-07	22	07	22-07A 1 on 1 Adventure Gamebooks -- The Amber Sword of World's End - Uthrac.txt.gv.png
22-07	22	07	22-07B 1 on 1 Adventure Gamebooks -- The Amber Sword of World's End - Garth.txt.gv.png
22-09	22	09	22-09A 1 on 1 Marvel Super Heroes -- The King Takes a Dare - Daredevil.txt.gv.png
22-09	22	09	22-09B 1 on 1 Marvel Super Heroes -- The King Takes A Dare - Kingpin.txt.gv.png
22-13	22	13	22-13 Marvel Superheroes Adventure Gamebook 03 Wolverine.txt.gv.png
22-17	22	17	22-17 Marvel Super Heroes -- Uncanny X-Men - An X-cellent Death.txt.gv.png
22-19	22	19	22-19 Marvel Super Heroes Adventure Gamebook -- Daredevil.txt.gv.png
22-21	22	21	22-21 Knightmare -- The Labryinths of Fear.txt.gv.png
22-22	22	22	22-22 Knightmare -- Fortress of Assasins.txt.gv.png
22-29	22	29	22-29 SwordQuest -- Quest of the Unicorn's Horn.txt.gv.png
22-30	22	30	22-30 SwordQuest -- Quest for the Elf King.txt.gv.png
22-34	22	34	22-34 Demonspawn 01 Fire-Wolf.txt.gv.png
22-35	22	35	22-35 Demonspawn 02 The Crypts of Terror.txt.gv.png
22-38	22	38	22-38 Sagard the Barbarian -- The Ice Dragon.txt.gv.png
32-34	32	34	32-34 Scegli la tua avventura -- Sopravvivere in mare (Italian).txt.gv.png
32-34	32	34	32-34 Sopravvivere in mare (Italian).txt.gv.png
32-35	32	35	32-35 Oltre lo spazio.txt.gv.png
32-35	32	35	32-35 Scegli la tua avventura -- Oltre lo spazio (Italian).txt.gv.png
32-36	32	36	32-36 Dentro L'UFO 54-40 (Italian).txt.gv.png
32-43	32	43	32-43 La Corona Del Re Sole.txt.gv.png
33-37	33	37	33-37 abominable hombre de las nieves, El.txt.gv.png
33-38	33	38	33-38 expreso de los vampiros, El.txt.gv.png
34-01	34	01	34-01 Reto de las galaxias, El -- Planetas en peligro.txt.gv.png
34-02	34	02	34-02 Reto de las galaxias, El -- La Invasion Androide.txt.gv.png
34-03	34	03	34-03 Vidaventura -- En Busca Del Yeti.txt.gv.png
34-04	34	04	34-04 Vidaventura -- Un Caballero De La Mesa Redonda.txt.gv.png
34-05	34	05	34-05 Vidaventura -- Tesoro De Moctezuma, El.txt.gv.png
34-06	34	06	34-06 Vidaventura -- monstruo de Loch Ness, El.txt.gv.png
34-07	34	07	34-07 Vidaventura -- Encuentros extragalacticos.txt.gv.png
34-08	34	08	34-08 Elige tu propio escalofrio -- castillo de la oscuridad, El.txt.gv.png
34-09	34	09	34-09 Elige tu propio escalofrio -- bosque tenebroso, El.txt.gv.png
34-11	34	11	34-11 Tu resuelves el caso -- Polvorin en el Caribe.txt.gv.png
34-12	34	12	34-12 Elige tu aventura -- anillo del mago, El.txt.gv.png
34-13	34	13	34-13 Elige tu aventura -- misterio de Loch Ness, El.txt.gv.png
34-14	34	14	34-14 naufrago de la isla misteriosa.txt.gv.png
34-15	34	15	34-15 misterio de la desaparicion del cantante de rock, El.txt.gv.png
34-16	34	16	34-16 Terrores fuera del tiempo.txt.gv.png
34-46	34	46	34-46 Time Machine--Le Sorgenti Del Nino (Italian).txt.gv.png
34-47	34	47	34-47 Time Machine-- le fiamme dell'inquisizione (Italian).txt.gv.png
39-01	39	01	39-01 The Adventures of You -- Sugarcane Island.txt.gv.png
39-03	39	03	39-03 Lone Wolf 19 Wolf's Bane (NO REFS).txt.gv.png
39-03	39	03	39-03 Lone Wolf 19 Wolf's Bane.txt.gv.png
39-04	39	04	39-04 Lone Wolf 25 Trail of the Wolf (NO REFS).txt.gv.png
39-04	39	04	39-04 Lone Wolf 25 Trail of the Wolf.txt.gv.png
39-05	39	05	39-05 You Be the Jury - Courtroom III.txt.gv.png
39-06	39	06	39-06 You Be the Jury - Courtroom IV.txt.gv.png
39-07	39	07	39-07 You Be the Jury - Courtroom IV (REMAKE).txt.gv.png
39-08	39	08	39-08 Solo Boxes.txt.gv.png
39-09	39	09	39-09 Solo Noughts and Crosses.txt.gv.png
39-10	39	10	39-10 Sleep and the City Trembles.txt.gv.png
39-11	39	11	39-11 Clue 11 The Picture-Perfect Crime.txt.gv.png
39-12	39	12	39-12 Clue 10 The Screaming Skeleton.txt.gv.png
39-13	39	13	39-13 Clue Jr. 11 The Case of the Barking Dog.txt.gv.png
39-14	39	14	39-14 Zebra Mystery Puzzler 44 The Witch's Tower Mystery.txt.gv.png
39-15	39	15	39-15 A Solve-It-Yourself Mystery 58 The Laughing Dragon Mystery.txt.gv.png
39-16	39	16	39-16 Star Wars-The Clone Wars Decide Your Destiny 01 The Way of the Jedi.txt.gv.png
39-17	39	17	39-17 You-Solve-It Mysteries 02 Dead Asleep.txt.gv.png
39-18	39	18	39-18 Find Your Fate Dr. Who 03 Garden of Evil.txt.gv.png
39-37	39	37	39-37 Hopscotch (codex order).txt.gv.png
39-37	39	37	39-37 Hopscotch (TOC 1).txt.gv.png
39-37	39	37	39-37 Hopscotch (TOC 1-2 combined).txt.gv.png
39-37	39	37	39-37 Hopscotch (TOC 2).txt.gv.png
39-40	39	40	39-40 Maps-The Uncollected John Sladek (combined).txt.gv.png
39-40	39	40	39-40 Maps-The Uncollected John Sladek - Alien Territory.txt.gv.png
39-40	39	40	39-40 Maps-The Uncollected John Sladek - The Lost Nose.txt.gv.png
39-41	39	41	39-41 The Last Book (crop endings).txt.gv.png
39-41	39	41	39-41 The Last Book.txt.gv.png
41-11	41	11	41-11 Fiaba game -- Tu Sei il Califfo del Deserto (Italian).txt.gv.png
41-12	41	12	41-12 Fiaba game -- Tu sei la Fata dei Folletti (Italian).txt.gv.png
41-13	41	13	41-13 Straniero, Lo -- In Cerca di Fortuna (Italian).txt.gv.png
41-14	41	14	41-14 Libri di Mondo Erre, I -- Avventure al Campo (Italian).txt.gv.png
41-15	41	15	41-15 Libri di Mondo Erre, I -- I Misteri delle Catacombe (Italian).txt.gv.png
41-16	41	16	41-16 Novecento Giochi -- Il Gobbo Maledetto (Italian).txt.gv.png
41-17	41	17	41-17 Big Night Out.txt.gv.png
41-33	41	33	41-33 American Girls - The Two Month Itch (no readorder).txt.gv.png
41-33	41	33	41-33 American Girls - The Two Month Itch.txt.gv.png
41-34	41	34	41-34 Costruire i Libri-Gioco -- Chapter - il labirinto di certa.txt.gv.png
41-34	41	34	41-34 Costruire i Libri-Gioco -- Chapter - Lavorare in classe con i racconti-gioco Io ho fatto cosi.txt.gv.png
41-34	41	34	41-34 Costruire i libri-gioco --Prologo (Italian).txt.gv.png
42-01	42	01	42-01 Giocare a dadi col drago (Italian).txt.gv.png
42-01	42	01	42-01 Giocare A Dadi Col Drago.txt.gv.png
42-02	42	02	42-02 Warhammer 40K-Hive of the Dead.txt.gv.png
42-31	42	31	42-31 Sports Illustrated for Kids Play Book! -- Baseball - You Are the Manager, You Call the Shots.txt.gv.png
42-32	42	32	42-32 Sports Illustrated for Kids Play Book! -- Football - You Are the Quarterback, You Call The Shots.txt.gv.png
42-33	42	33	42-33 Je Bouquine (April 1998, issue 50).txt.gv.png
42-34	42	34	42-34 Je Bouquine (July 2002, issue 221).txt.gv.png
42-35	42	35	42-35 Je Bouquine (August 2002, Issue 222).txt.gv.png
42-36	42	36	42-36 CYOA - Dragonlarks 01 The Haunted House.txt.gv.png
42-37	42	37	42-37 CYOA - Dragonlarks 02 Your Very Own Robot.txt.gv.png
42-38	42	38	42-38 CYOA - Dragonlarks 03 Indian Trail.txt.gv.png
42-39	42	39	42-39 CYOA - Dragonlarks 04 Caravan.txt.gv.png
42-40	42	40	42-40 CYOA - Dragonlarks 05 Your Purrr-fect Birthday.txt.gv.png
42-41	42	41	42-41 CYOA - Dragonlarks 07 Sand Castle.txt.gv.png
42-42	42	42	42-42 CYOA - Dragonlarks 09 Always Picked Last.txt.gv.png
42-43	42	43	42-43 CYOA - Dragonlarks 10 Your Very Own Robot Goes Cuckoo-Bananas!.txt.gv.png
42-44	42	44	42-44 CYOA - Dragonlarks 11 Return to Haunted House.txt.gv.png
42-45	42	45	42-45 CYOA - Dragonlarks 12 The Owl Tree.txt.gv.png
42-46	42	46	42-46 CYOA - Dragonlarks -- The Lake Monster Mystery.txt.gv.png
42-47	42	47	42-47 CYOA - Dragonlarks -- Ghost Island.txt.gv.png
42-48	42	48	42-48 You are There Bible Adventures (Chapter 1).txt.gv.png
42-48	42	48	42-48 You are There Bible Adventures (Chapter 2).txt.gv.png
42-48	42	48	42-48 You are There Bible Adventures (Chapter 3).txt.gv.png
42-48	42	48	42-48 You are There Bible Adventures (Chapter 4).txt.gv.png
42-48	42	48	42-48 You are There Bible Adventures (Chapter 5).txt.gv.png
42-48	42	48	42-48 You are There Bible Adventures (Chapter 6).txt.gv.png
42-48	42	48	42-48 You are There Bible Adventures (Chapter 7).txt.gv.png
42-48	42	48	42-48 You are There Bible Adventures (Chapter 8).txt.gv.png
42-48	42	48	42-48 You are There Bible Adventures.txt.gv.png
42-49	42	49	42-49 Creating Adventure Games on Your Computer - Ex1 - a simple five-room environment.txt.gv.png
42-49	42	49	42-49 Creating Adventure Games on Your Computer - Ex2 - Werewolves and Wanderer (paper).txt.gv.png
42-49	42	49	42-49 Creating Adventure Games on Your Computer - Ex3 - Werewolves and Wanderer (computer).txt.gv.png
42-49	42	49	42-49 Creating Adventure Games on Your Computer - Ex4 - The Asimovian Disaster.txt.gv.png
42-49	42	49	42-49 Creating Adventure Games on Your Computer - Ex5 - The Citidel of Pershu.txt.gv.png
42-49	42	49	42-49 Creating Adventure Games on Your Computer - Ex6 - Chateau Gaillard.txt.gv.png
42-49	42	49	42-49 Creating Adventure Games on Your Computer.txt.gv.png
42-50	42	50	42-50 (v.5) Back Brain Recluse -- Angel Body and Other Magic for the Soul.txt.gv.png
43-20	43	20	43-20 Whatever You Want.txt.gv.png
